LABEL,CODE,new_drug_cd
cl_term_1,1,ACE
cl_term_2,2,ACET
cl_term_3,3,ACY
cl_term_4,4,ACYC
cl_term_5,5,ADAL
cl_term_6,6,ADDE
cl_term_7,7,ADVA
cl_term_8,8,ALBU
cl_term_9,9,ALEM
cl_term_10,10,ALLO
cl_term_11,11,ALTE
cl_term_12,12,AMAN
cl_term_13,13,AMIC
cl_term_14,14,AMIN
cl_term_15,15,AMIO
cl_term_16,16,AMIT
cl_term_17,17,AMOX
cl_term_18,18,AMP
cl_term_19,19,AMPI
cl_term_20,20,ANTI
cl_term_21,21,APRO
cl_term_22,22,ARIP
cl_term_23,23,ASA
cl_term_24,24,ASCO
cl_term_25,25,ASPI
cl_term_26,26,ASTR
cl_term_27,27,ATAZ
cl_term_28,28,ATEN
cl_term_29,29,ATOR
cl_term_30,30,ATRO
cl_term_31,31,AUGM
cl_term_32,32,AZIT
cl_term_33,33,AZTR
cl_term_34,34,BACI
cl_term_35,35,BACL
cl_term_36,36,BACT
cl_term_37,37,BACTDES
cl_term_38,38,BAG
cl_term_39,39,BECO
cl_term_40,40,BENZ
cl_term_41,41,BERA
cl_term_42,42,BETA
cl_term_43,43,BETAVAL
cl_term_44,44,BETH
cl_term_45,45,BIAX
cl_term_46,46,BLEP
cl_term_47,47,BTL
cl_term_48,48,BUDE
cl_term_49,49,BUME
cl_term_50,50,BUPI
cl_term_51,51,BUPIWE
cl_term_52,52,BUPR
cl_term_53,53,BUSP
cl_term_54,54,CALC
cl_term_55,55,CALG
cl_term_56,56,CAPT
cl_term_57,57,CARB
cl_term_58,58,CARV
cl_term_59,59,CATA
cl_term_60,60,CEF
cl_term_61,61,CEFA
cl_term_62,62,CEFE
cl_term_63,63,CEFR
cl_term_64,64,CEFT
cl_term_65,65,CEFU
cl_term_66,66,CEFX
cl_term_67,67,CEPH
cl_term_68,68,CEPHDESEN
cl_term_69,69,CHL
cl_term_70,70,CHLO
cl_term_71,71,CHLOR
cl_term_72,72,CHLORO
cl_term_73,73,CHOL
cl_term_74,74,CHPR
cl_term_75,75,CIME
cl_term_76,76,CIPR
cl_term_77,77,CISA
cl_term_78,78,CITR
cl_term_79,79,CLIN
cl_term_80,80,CLOB
cl_term_81,81,CLOM
cl_term_82,82,CLON
cl_term_83,83,CLOP
cl_term_84,84,CLOT
cl_term_85,85,CLOZ
cl_term_86,86,COCA
cl_term_87,87,COLEPWD
cl_term_88,88,COSO
cl_term_89,89,CROM
cl_term_90,90,CSA
cl_term_91,91,CVVH
cl_term_92,92,CYAN
cl_term_93,93,CYCL
cl_term_94,94,CYCLOBASE
cl_term_95,95,CYTA
cl_term_96,96,CYTO
cl_term_97,97,D
cl_term_98,98,DAKINHS
cl_term_99,99,DAKINQS
cl_term_100,100,DAPS
cl_term_101,101,DARU
cl_term_102,102,DDAV
cl_term_103,103,DEFE
cl_term_104,104,DEME
cl_term_105,105,DESI
cl_term_106,106,DEXA
cl_term_107,107,DEXT
cl_term_108,108,DIAZ
cl_term_109,109,DICL
cl_term_110,110,DIDA
cl_term_111,111,DIGO
cl_term_112,112,DILT
cl_term_113,113,DIPH
cl_term_114,114,DIPY
cl_term_115,115,DISO
cl_term_116,116,DIVA
cl_term_117,117,DOFE
cl_term_118,118,DOPA
cl_term_119,119,DOXA
cl_term_120,120,DOXE
cl_term_121,121,DOXO
cl_term_122,122,DOXY
cl_term_123,123,DRON
cl_term_124,124,DROTIND
cl_term_125,125,DTO
cl_term_126,126,DURA
cl_term_127,127,DXIG
cl_term_128,128,EFAV
cl_term_129,129,ENOX
cl_term_130,130,EPI
cl_term_131,131,EPIBAGH
cl_term_132,132,EPLE
cl_term_133,133,EPO
cl_term_134,134,EPOP
cl_term_135,135,ERGO
cl_term_136,136,ERLO
cl_term_137,137,ERYT
cl_term_138,138,ESTR
cl_term_139,139,ETHA
cl_term_140,140,EXCELNS
cl_term_141,141,FELO
cl_term_142,142,FEN
cl_term_143,143,FENO
cl_term_144,144,FENT
cl_term_145,145,FERR
cl_term_146,146,FINA
cl_term_147,147,FLUC
cl_term_148,148,FLUO
cl_term_149,149,FLUP
cl_term_150,150,FLUT
cl_term_151,151,FLUV
cl_term_152,152,FOLI
cl_term_153,153,FOND
cl_term_154,154,FOSA
cl_term_155,155,FOSC
cl_term_156,156,FRBD
cl_term_157,157,FURO
cl_term_158,158,GANC
cl_term_159,159,GENT
cl_term_160,160,GEOD
cl_term_161,161,GLAT
cl_term_162,162,GLIM
cl_term_163,163,GLIP
cl_term_164,164,GLU
cl_term_165,165,GLUE
cl_term_166,166,GLYB
cl_term_167,167,GLYC
cl_term_168,168,GOLY
cl_term_169,169,H
cl_term_170,170,HALO
cl_term_171,171,HC
cl_term_172,172,HEP
cl_term_173,173,HEPA
cl_term_174,174,HOMA
cl_term_175,175,HYD
cl_term_176,176,HYDR
cl_term_177,177,HYDRNEO
cl_term_178,178,HYDRO
cl_term_179,179,HYDRSYR
cl_term_180,180,HYDX
cl_term_181,181,HYDZ
cl_term_182,182,IBUP
cl_term_183,183,ILOP
cl_term_184,184,IMAT
cl_term_185,185,IMIP
cl_term_186,186,INDO
cl_term_187,187,INSUPUMP
cl_term_188,188,INTE
cl_term_189,189,INTR
cl_term_190,190,IPRA
cl_term_191,191,ISON
cl_term_192,192,ISOS
cl_term_193,193,KALE
cl_term_194,194,KAYE
cl_term_195,195,KCL
cl_term_196,196,KCLBASE
cl_term_197,197,KETA
cl_term_198,198,KETR
cl_term_199,199,KPHO
cl_term_200,200,LABE
cl_term_201,201,LACO
cl_term_202,202,LACT
cl_term_203,203,LAMI
cl_term_204,204,LAMO
cl_term_205,205,LANS
cl_term_206,206,LEFL
cl_term_207,207,LEUC
cl_term_208,208,LEUP
cl_term_209,209,LEVE
cl_term_210,210,LEVO
cl_term_211,211,LEVOBASE
cl_term_212,212,LEVS
cl_term_213,213,LID
cl_term_214,214,LIDO
cl_term_215,215,LIDX
cl_term_216,216,LINE
cl_term_217,217,LIPIDSTUDYG
cl_term_218,218,LISI
cl_term_219,219,LITH
cl_term_220,220,LITHI
cl_term_221,221,LITHOBID
cl_term_222,222,LOMO
cl_term_223,223,LOPE
cl_term_224,224,LORA
cl_term_225,225,LOVE
cl_term_226,226,LOXA
cl_term_227,227,MAAL
cl_term_228,228,MAFE
cl_term_229,229,MANN
cl_term_230,230,MCT
cl_term_231,231,MEDR
cl_term_232,232,MEGE
cl_term_233,233,MEMA
cl_term_234,234,MEPE
cl_term_235,235,MERC
cl_term_236,236,MESA
cl_term_237,237,MESADESEN
cl_term_238,238,METF
cl_term_239,239,METH
cl_term_240,240,METI
cl_term_241,241,METO
cl_term_242,242,METOSUSP
cl_term_243,243,METR
cl_term_244,244,MICO
cl_term_245,245,MIDA
cl_term_246,246,MILR
cl_term_247,247,MINO
cl_term_248,248,MISO
cl_term_249,249,MORP
cl_term_250,250,MOVIKIT
cl_term_251,251,MPRED
cl_term_252,252,MSCO
cl_term_253,253,MTX
cl_term_254,254,MYCO
cl_term_255,255,NABC
cl_term_256,256,NACL
cl_term_257,257,NADO
cl_term_258,258,NAFC
cl_term_259,259,NALO
cl_term_260,260,NAPH
cl_term_261,261,NATTTS
cl_term_262,262,NEOACET
cl_term_263,263,NEOCHLO
cl_term_264,264,NEOEPO
cl_term_265,265,NEOM
cl_term_266,266,NEOMERO
cl_term_267,267,NEOR
cl_term_268,268,NEOSYRD
cl_term_269,269,NEOZOSYN
cl_term_270,270,NFAT
cl_term_271,271,NICA
cl_term_272,272,NICO
cl_term_273,273,NIFXL
cl_term_274,274,NITR
cl_term_275,275,NORE
cl_term_276,276,NORESTFE
cl_term_277,277,NORMOCARB
cl_term_278,278,NORT
cl_term_279,279,NS
cl_term_280,280,NTG
cl_term_281,281,NYST
cl_term_282,282,OCTR
cl_term_283,283,OLAN
cl_term_284,284,OMEP
cl_term_285,285,ONDA
cl_term_286,286,OSEL
cl_term_287,287,OXA
cl_term_288,288,OXAC
cl_term_289,289,OXCA
cl_term_290,290,OXYC
cl_term_291,291,OXYIR
cl_term_292,292,OXYM
cl_term_293,293,PALINEO
cl_term_294,294,PANT
cl_term_295,295,PAPA
cl_term_296,296,PARO
cl_term_297,297,PB
cl_term_298,298,PENGK
cl_term_299,299,PENT
cl_term_300,300,PENV
cl_term_301,301,PEPT
cl_term_302,302,PERI
cl_term_303,303,PERM
cl_term_304,304,PERP
cl_term_305,305,PHEN
cl_term_306,306,PHYS
cl_term_307,307,PHYT
cl_term_308,308,PILO
cl_term_309,309,PIOG
cl_term_310,310,PNEU
cl_term_311,311,POLY
cl_term_312,312,POTA
cl_term_313,313,PRAL
cl_term_314,314,PRAM
cl_term_315,315,PRAZ
cl_term_316,316,PRED
cl_term_317,317,PRIM
cl_term_318,318,PROC
cl_term_319,319,PROM
cl_term_320,320,PROP
cl_term_321,321,PROPLA
cl_term_322,322,PYRI
cl_term_323,323,QUET
cl_term_324,324,QUIN
cl_term_325,325,RAMI
cl_term_326,326,RANI
cl_term_327,327,REPA
cl_term_328,328,RHINOC
cl_term_329,329,RIFA
cl_term_330,330,RISP
cl_term_331,331,RITA
cl_term_332,332,RITO
cl_term_333,333,RIVA
cl_term_334,334,ROPI
cl_term_335,335,ROSI
cl_term_336,336,ROSU
cl_term_337,337,RUFI
cl_term_338,338,SARG
cl_term_339,339,SEND
cl_term_340,340,SENN
cl_term_341,341,SERT
cl_term_342,342,SEVE
cl_term_343,343,SILD
cl_term_344,344,SIMV
cl_term_345,345,SIRO
cl_term_346,346,SODCITABL
cl_term_347,347,SODI
cl_term_348,348,SOLN
cl_term_349,349,SULF
cl_term_350,350,SW
cl_term_351,351,SYRIT
cl_term_352,352,T
cl_term_353,353,TACR
cl_term_354,354,TACRSUSP
cl_term_355,355,TAXO
cl_term_356,356,TBDX
cl_term_357,357,TEGA
cl_term_358,358,TENO
cl_term_359,359,TERB
cl_term_360,360,TEST
cl_term_361,361,THAM
cl_term_362,362,THEO
cl_term_363,363,THIA
cl_term_364,364,THIO
cl_term_365,365,THIX
cl_term_366,366,THOR
cl_term_367,367,THRO
cl_term_368,368,THYR
cl_term_369,369,TIAZ
cl_term_370,370,TOBR
cl_term_371,371,TORS
cl_term_372,372,TRAN
cl_term_373,373,TRAZ
cl_term_374,374,TREP
cl_term_375,375,TRET
cl_term_376,376,TRIA
cl_term_377,377,TRIAM
cl_term_378,378,TRIM
cl_term_379,379,TRMP
cl_term_380,380,UREA
cl_term_381,381,VALGA
cl_term_382,382,VALP
cl_term_383,383,VALS
cl_term_384,384,VANC
cl_term_385,385,VANCO
cl_term_386,386,VECU
cl_term_387,387,VENL
cl_term_388,388,VERA
cl_term_389,389,VITA
cl_term_390,390,VITAMA
cl_term_391,391,VORI
cl_term_392,392,WARF
cl_term_393,393,ZIPR
cl_term_394,394,ZOSY
